product_market_id,market_id,product_id,product_name,product_family,product_category,product_tier,target_persona,bundle_eligible_flag,industry,geography,company_size,buyer_persona,total_companies,addressable_pct,segment_tam_value_usd,base_acv_usd,product_fit_score,product_tam_share_pct,product_tam_value_usd,product_addressable_accounts_est,product_average_budget_usd,market_growth_rate,competitive_intensity,regulatory_complexity,tam_allocation_method
M0003_P004,M0003,P004,Customer Intelligence Cloud,Customer Intelligence,Workflow Platform,Enterprise,CRO,Yes,Healthcare,North America,Strategic,Strategy,185,0.402,81055714,120000,1.062291,0.106247,8611927,8,1076491,0.097,High,High,Normalized persona x industry x company-size x ACV fit weights
M0003_P005,M0003,P005,Competitive Intelligence Radar,Competitive Intelligence,Insights Module,Standard,Strategy,Yes,Healthcare,North America,Strategic,Strategy,185,0.402,81055714,90000,1.30113,0.130135,10548176,10,1054818,0.097,High,High,Normalized persona x industry x company-size x ACV fit weights
M0003_P006,M0003,P006,Forecasting Platform,Forecasting Platform,Decision Engine,Premium,CFO,Yes,Healthcare,North America,Strategic,Strategy,185,0.402,81055714,160000,1.278641,0.127886,10365862,10,1036586,0.097,High,High,Normalized persona x industry x company-size x ACV fit weights
M0003_P007,M0003,P007,Workflow Automation Hub,Workflow Automation,Workflow Platform,Standard,Product,Yes,Healthcare,North America,Strategic,Strategy,185,0.402,81055714,80000,0.766602,0.076673,6214795,6,1035799,0.097,High,High,Normalized persona x industry x company-size x ACV fit weights
M0003_P008,M0003,P008,Executive Insights Portal,Executive Insights,Executive Layer,Premium,CFO,Yes,Healthcare,North America,Strategic,Strategy,185,0.402,81055714,110000,1.083165,0.108335,8781151,8,1097644,0.097,High,High,Normalized persona x industry x company-size x ACV fit weights
M0004_P001,M0004,P001,Market Intelligence Pro,Market Intelligence,Core Platform,Premium,Strategy,Yes,Healthcare,North America,Strategic,Product,115,0.262,29642758,150000,1.207363,0.125635,3724154,4,931038,0.051,High,High,Normalized persona x industry x company-size x ACV fit weights
M0004_P002,M0004,P002,Risk Analytics Suite,Risk Analytics,Analytics Add-on,Premium,CFO,Yes,Healthcare,North America,Strategic,Product,115,0.262,29642758,175000,1.414961,0.147237,4364498,4,1091124,0.051,High,High,Normalized persona x industry x company-size x ACV fit weights
M0004_P003,M0004,P003,Pricing Intelligence Engine,Pricing Intelligence,Decision Engine,Enterprise,CRO,Yes,Healthcare,North America,Strategic,Product,115,0.262,29642758,135000,0.889865,0.092597,2744819,3,914940,0.051,High,High,Normalized persona x industry x company-size x ACV fit weights
M0004_P004,M0004,P004,Customer Intelligence Cloud,Customer Intelligence,Workflow Platform,Enterprise,CRO,Yes,Healthcare,North America,Strategic,Product,115,0.262,29642758,120000,1.624681,0.169059,5011386,5,1002277,0.051,High,High,Normalized persona x industry x company-size x ACV fit weights
M0004_P005,M0004,P005,Competitive Intelligence Radar,Competitive Intelligence,Insights Module,Standard,Strategy,Yes,Healthcare,North America,Strategic,Product,115,0.262,29642758,90000,0.713523,0.074247,2200887,2,1100444,0.051,High,High,Normalized persona x industry x company-size x ACV fit weights
M0004_P006,M0004,P006,Forecasting Platform,Forecasting Platform,Decision Engine,Premium,CFO,Yes,Healthcare,North America,Strategic,Product,115,0.262,29642758,160000,1.278641,0.133052,3944014,4,986004,0.051,High,High,Normalized persona x industry x company-size x ACV fit weights
M0004_P007,M0004,P007,Workflow Automation Hub,Workflow Automation,Workflow Platform,Standard,Product,Yes,Healthcare,North America,Strategic,Product,115,0.262,29642758,80000,1.397922,0.145463,4311939,4,1077985,0.051,High,High,Normalized persona x industry x company-size x ACV fit weights
M0004_P008,M0004,P008,Executive Insights Portal,Executive Insights,Executive Layer,Premium,CFO,Yes,Healthcare,North America,Strategic,Product,115,0.262,29642758,110000,1.083165,0.112711,3341061,3,1113687,0.051,High,High,Normalized persona x industry x company-size x ACV fit weights
M0005_P001,M0005,P001,Market Intelligence Pro,Market Intelligence,Core Platform,Premium,Strategy,Yes,Healthcare,North America,Enterprise,CFO,431,0.319,75946263,150000,1.062479,0.098335,7468172,14,533441,0.063,Low,High,Normalized persona x industry x company-size x ACV fit weights
M0005_P002,M0005,P002,Risk Analytics Suite,Risk Analytics,Analytics Add-on,Premium,CFO,Yes,Healthcare,North America,Enterprise,CFO,431,0.319,75946263,175000,2.270597,0.210149,15960033,29,550346,0.063,Low,High,Normalized persona x industry x company-size x ACV fit weights
M0005_P003,M0005,P003,Pricing Intelligence Engine,Pricing Intelligence,Decision Engine,Enterprise,CRO,Yes,Healthcare,North America,Enterprise,CFO,431,0.319,75946263,135000,0.928554,0.08594,6526814,12,543901,0.063,Low,High,Normalized persona x industry x company-size x ACV fit weights
M0005_P004,M0005,P004,Customer Intelligence Cloud,Customer Intelligence,Workflow Platform,Enterprise,CRO,Yes,Healthcare,North America,Enterprise,CFO,431,0.319,75946263,120000,1.108478,0.102592,7791497,14,556536,0.063,Low,High,Normalized persona x industry x company-size x ACV fit weights
M0005_P005,M0005,P005,Competitive Intelligence Radar,Competitive Intelligence,Insights Module,Standard,Strategy,Yes,Healthcare,North America,Enterprise,CFO,431,0.319,75946263,90000,0.792803,0.073376,5572617,10,557262,0.063,Low,High,Normalized persona x industry x company-size x ACV fit weights
M0005_P006,M0005,P006,Forecasting Platform,Forecasting Platform,Decision Engine,Premium,CFO,Yes,Healthcare,North America,Enterprise,CFO,431,0.319,75946263,160000,2.051843,0.189903,14422416,26,554708,0.063,Low,High,Normalized persona x industry x company-size x ACV fit weights
M0005_P007,M0005,P007,Workflow Automation Hub,Workflow Automation,Workflow Platform,Standard,Product,Yes,Healthcare,North America,Enterprise,CFO,431,0.319,75946263,80000,0.85178,0.078834,5987167,11,544288,0.063,Low,High,Normalized persona x industry x company-size x ACV fit weights
M0005_P008,M0005,P008,Executive Insights Portal,Executive Insights,Executive Layer,Premium,CFO,Yes,Healthcare,North America,Enterprise,CFO,431,0.319,75946263,110000,1.738162,0.160871,12217547,22,555343,0.063,Low,High,Normalized persona x industry x company-size x ACV fit weights
M0006_P001,M0006,P001,Market Intelligence Pro,Market Intelligence,Core Platform,Premium,Strategy,Yes,Healthcare,North America,Enterprise,CRO,749,0.473,126965312,150000,1.062479,0.109026,13842500,39,354936,0.066,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0006_P002,M0006,P002,Risk Analytics Suite,Risk Analytics,Analytics Add-on,Premium,CFO,Yes,Healthcare,North America,Enterprise,CRO,749,0.473,126965312,175000,1.245166,0.127772,16222628,45,360503,0.066,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0006_P003,M0006,P003,Pricing Intelligence Engine,Pricing Intelligence,Decision Engine,Enterprise,CRO,Yes,Healthcare,North America,Enterprise,CRO,749,0.473,126965312,135000,1.693246,0.173752,22060440,62,355814,0.066,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0006_P004,M0006,P004,Customer Intelligence Cloud,Customer Intelligence,Workflow Platform,Enterprise,CRO,Yes,Healthcare,North America,Enterprise,CRO,749,0.473,126965312,120000,2.021342,0.207419,26335032,73,360754,0.066,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0006_P005,M0006,P005,Competitive Intelligence Radar,Competitive Intelligence,Insights Module,Standard,Strategy,Yes,Healthcare,North America,Enterprise,CRO,749,0.473,126965312,90000,0.792803,0.081353,10329027,29,356173,0.066,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0006_P006,M0006,P006,Forecasting Platform,Forecasting Platform,Decision Engine,Premium,CFO,Yes,Healthcare,North America,Enterprise,CRO,749,0.473,126965312,160000,1.125204,0.115462,14659711,41,357554,0.066,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0006_P007,M0006,P007,Workflow Automation Hub,Workflow Automation,Workflow Platform,Standard,Product,Yes,Healthcare,North America,Enterprise,CRO,749,0.473,126965312,80000,0.85178,0.087405,11097409,31,357981,0.066,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0006_P008,M0006,P008,Executive Insights Portal,Executive Insights,Executive Layer,Premium,CFO,Yes,Healthcare,North America,Enterprise,CRO,749,0.473,126965312,110000,0.953185,0.097811,12418565,35,354816,0.066,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0007_P001,M0007,P001,Market Intelligence Pro,Market Intelligence,Core Platform,Premium,Strategy,Yes,Healthcare,North America,Enterprise,Strategy,779,0.403,203020546,150000,1.937462,0.201913,40992488,63,650674,0.116,High,High,Normalized persona x industry x company-size x ACV fit weights
M0007_P002,M0007,P002,Risk Analytics Suite,Risk Analytics,Analytics Add-on,Premium,CFO,Yes,Healthcare,North America,Enterprise,Strategy,779,0.403,203020546,175000,1.245166,0.129765,26344999,41,642561,0.116,High,High,Normalized persona x industry x company-size x ACV fit weights
M0007_P003,M0007,P003,Pricing Intelligence Engine,Pricing Intelligence,Decision Engine,Enterprise,CRO,Yes,Healthcare,North America,Enterprise,Strategy,779,0.403,203020546,135000,0.928554,0.096769,19646192,30,654873,0.116,High,High,Normalized persona x industry x company-size x ACV fit weights
M0007_P004,M0007,P004,Customer Intelligence Cloud,Customer Intelligence,Workflow Platform,Enterprise,CRO,Yes,Healthcare,North America,Enterprise,Strategy,779,0.403,203020546,120000,1.108478,0.11552,23452981,36,651472,0.116,High,High,Normalized persona x industry x company-size x ACV fit weights
M0007_P005,M0007,P005,Competitive Intelligence Radar,Competitive Intelligence,Insights Module,Standard,Strategy,Yes,Healthcare,North America,Enterprise,Strategy,779,0.403,203020546,90000,1.4457,0.150664,30587864,47,650806,0.116,High,High,Normalized persona x industry x company-size x ACV fit weights
M0007_P006,M0007,P006,Forecasting Platform,Forecasting Platform,Decision Engine,Premium,CFO,Yes,Healthcare,North America,Enterprise,Strategy,779,0.403,203020546,160000,1.125204,0.117263,23806876,37,643429,0.116,High,High,Normalized persona x industry x company-size x ACV fit weights
M0007_P007,M0007,P007,Workflow Automation Hub,Workflow Automation,Workflow Platform,Standard,Product,Yes,Healthcare,North America,Enterprise,Strategy,779,0.403,203020546,80000,0.85178,0.088768,18021816,28,643636,0.116,High,High,Normalized persona x industry x company-size x ACV fit weights
M0007_P008,M0007,P008,Executive Insights Portal,Executive Insights,Executive Layer,Premium,CFO,Yes,Healthcare,North America,Enterprise,Strategy,779,0.403,203020546,110000,0.953185,0.099336,20167330,31,650559,0.116,High,High,Normalized persona x industry x company-size x ACV fit weights
M0008_P001,M0008,P001,Market Intelligence Pro,Market Intelligence,Core Platform,Premium,Strategy,Yes,Healthcare,North America,Enterprise,Product,430,0.292,43537842,150000,1.062479,0.113562,4944235,14,353160,0.072,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0008_P002,M0008,P002,Risk Analytics Suite,Risk Analytics,Analytics Add-on,Premium,CFO,Yes,Healthcare,North America,Enterprise,Product,430,0.292,43537842,175000,1.245166,0.133088,5794365,17,340845,0.072,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0008_P003,M0008,P003,Pricing Intelligence Engine,Pricing Intelligence,Decision Engine,Enterprise,CRO,Yes,Healthcare,North America,Enterprise,Product,430,0.292,43537842,135000,0.928554,0.099247,4321017,12,360085,0.072,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0008_P004,M0008,P004,Customer Intelligence Cloud,Customer Intelligence,Workflow Platform,Enterprise,CRO,Yes,Healthcare,North America,Enterprise,Product,430,0.292,43537842,120000,1.695319,0.181202,7889148,23,343006,0.072,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0008_P005,M0008,P005,Competitive Intelligence Radar,Competitive Intelligence,Insights Module,Standard,Strategy,Yes,Healthcare,North America,Enterprise,Product,430,0.292,43537842,90000,0.792803,0.084738,3689300,11,335391,0.072,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0008_P006,M0008,P006,Forecasting Platform,Forecasting Platform,Decision Engine,Premium,CFO,Yes,Healthcare,North America,Enterprise,Product,430,0.292,43537842,160000,1.125204,0.120266,5236125,15,349075,0.072,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0008_P007,M0008,P007,Workflow Automation Hub,Workflow Automation,Workflow Platform,Standard,Product,Yes,Healthcare,North America,Enterprise,Product,430,0.292,43537842,80000,1.553246,0.166017,7228014,21,344191,0.072,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0008_P008,M0008,P008,Executive Insights Portal,Executive Insights,Executive Layer,Premium,CFO,Yes,Healthcare,North America,Enterprise,Product,430,0.292,43537842,110000,0.953185,0.10188,4435638,13,341203,0.072,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0009_P001,M0009,P001,Market Intelligence Pro,Market Intelligence,Core Platform,Premium,Strategy,Yes,Healthcare,North America,Mid-Market,CFO,1787,0.264,114571076,150000,0.772712,0.086494,9909745,41,241701,0.075,High,High,Normalized persona x industry x company-size x ACV fit weights
M0009_P002,M0009,P002,Risk Analytics Suite,Risk Analytics,Analytics Add-on,Premium,CFO,Yes,Healthcare,North America,Mid-Market,CFO,1787,0.264,114571076,175000,1.651343,0.184845,21177853,87,243424,0.075,High,High,Normalized persona x industry x company-size x ACV fit weights
M0009_P003,M0009,P003,Pricing Intelligence Engine,Pricing Intelligence,Decision Engine,Enterprise,CRO,Yes,Healthcare,North America,Mid-Market,CFO,1787,0.264,114571076,135000,0.773795,0.086616,9923636,41,242040,0.075,High,High,Normalized persona x industry x company-size x ACV fit weights
M0009_P004,M0009,P004,Customer Intelligence Cloud,Customer Intelligence,Workflow Platform,Enterprise,CRO,Yes,Healthcare,North America,Mid-Market,CFO,1787,0.264,114571076,120000,0.923732,0.103399,11846511,49,241766,0.075,High,High,Normalized persona x industry x company-size x ACV fit weights
M0009_P005,M0009,P005,Competitive Intelligence Radar,Competitive Intelligence,Insights Module,Standard,Strategy,Yes,Healthcare,North America,Mid-Market,CFO,1787,0.264,114571076,90000,0.991004,0.110929,12709254,52,244409,0.075,High,High,Normalized persona x industry x company-size x ACV fit weights
M0009_P006,M0009,P006,Forecasting Platform,Forecasting Platform,Decision Engine,Premium,CFO,Yes,Healthcare,North America,Mid-Market,CFO,1787,0.264,114571076,160000,1.49225,0.167036,19137541,79,242247,0.075,High,High,Normalized persona x industry x company-size x ACV fit weights
M0009_P007,M0009,P007,Workflow Automation Hub,Workflow Automation,Workflow Platform,Standard,Product,Yes,Healthcare,North America,Mid-Market,CFO,1787,0.264,114571076,80000,1.064725,0.119181,13654702,56,243834,0.075,High,High,Normalized persona x industry x company-size x ACV fit weights
M0009_P008,M0009,P008,Executive Insights Portal,Executive Insights,Executive Layer,Premium,CFO,Yes,Healthcare,North America,Mid-Market,CFO,1787,0.264,114571076,110000,1.264118,0.1415,16211834,67,241968,0.075,High,High,Normalized persona x industry x company-size x ACV fit weights
M0010_P001,M0010,P001,Market Intelligence Pro,Market Intelligence,Core Platform,Premium,Strategy,Yes,Healthcare,North America,Mid-Market,CRO,1332,0.439,60424759,150000,0.772712,0.09264,5597722,54,103662,0.12,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0010_P002,M0010,P002,Risk Analytics Suite,Risk Analytics,Analytics Add-on,Premium,CFO,Yes,Healthcare,North America,Mid-Market,CRO,1332,0.439,60424759,175000,0.905575,0.108568,6560214,63,104130,0.12,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0010_P003,M0010,P003,Pricing Intelligence Engine,Pricing Intelligence,Decision Engine,Enterprise,CRO,Yes,Healthcare,North America,Mid-Market,CRO,1332,0.439,60424759,135000,1.411039,0.169168,10221919,99,103252,0.12,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0010_P004,M0010,P004,Customer Intelligence Cloud,Customer Intelligence,Workflow Platform,Enterprise,CRO,Yes,Healthcare,North America,Mid-Market,CRO,1332,0.439,60424759,120000,1.684452,0.201947,12202592,118,103412,0.12,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0010_P005,M0010,P005,Competitive Intelligence Radar,Competitive Intelligence,Insights Module,Standard,Strategy,Yes,Healthcare,North America,Mid-Market,CRO,1332,0.439,60424759,90000,0.991004,0.11881,7179082,69,104045,0.12,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0010_P006,M0010,P006,Forecasting Platform,Forecasting Platform,Decision Engine,Premium,CFO,Yes,Healthcare,North America,Mid-Market,CRO,1332,0.439,60424759,160000,0.81833,0.098109,5928191,57,104003,0.12,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0010_P007,M0010,P007,Workflow Automation Hub,Workflow Automation,Workflow Platform,Standard,Product,Yes,Healthcare,North America,Mid-Market,CRO,1332,0.439,60424759,80000,1.064725,0.127649,7713138,75,102842,0.12,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0010_P008,M0010,P008,Executive Insights Portal,Executive Insights,Executive Layer,Premium,CFO,Yes,Healthcare,North America,Mid-Market,CRO,1332,0.439,60424759,110000,0.693226,0.08311,5021901,49,102488,0.12,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0011_P001,M0011,P001,Market Intelligence Pro,Market Intelligence,Core Platform,Premium,Strategy,Yes,Healthcare,North America,Mid-Market,Strategy,1687,0.448,166928245,150000,1.409064,0.167834,28016257,127,220600,0.077,High,High,Normalized persona x industry x company-size x ACV fit weights
M0011_P002,M0011,P002,Risk Analytics Suite,Risk Analytics,Analytics Add-on,Premium,CFO,Yes,Healthcare,North America,Mid-Market,Strategy,1687,0.448,166928245,175000,0.905575,0.107863,18005452,82,219579,0.077,High,High,Normalized persona x industry x company-size x ACV fit weights
M0011_P003,M0011,P003,Pricing Intelligence Engine,Pricing Intelligence,Decision Engine,Enterprise,CRO,Yes,Healthcare,North America,Mid-Market,Strategy,1687,0.448,166928245,135000,0.773795,0.092167,15385290,70,219790,0.077,High,High,Normalized persona x industry x company-size x ACV fit weights
M0011_P004,M0011,P004,Customer Intelligence Cloud,Customer Intelligence,Workflow Platform,Enterprise,CRO,Yes,Healthcare,North America,Mid-Market,Strategy,1687,0.448,166928245,120000,0.923732,0.110026,18366455,83,221283,0.077,High,High,Normalized persona x industry x company-size x ACV fit weights
M0011_P005,M0011,P005,Competitive Intelligence Radar,Competitive Intelligence,Insights Module,Standard,Strategy,Yes,Healthcare,North America,Mid-Market,Strategy,1687,0.448,166928245,90000,1.807125,0.215247,35930867,163,220435,0.077,High,High,Normalized persona x industry x company-size x ACV fit weights
M0011_P006,M0011,P006,Forecasting Platform,Forecasting Platform,Decision Engine,Premium,CFO,Yes,Healthcare,North America,Mid-Market,Strategy,1687,0.448,166928245,160000,0.81833,0.097472,16270775,74,219875,0.077,High,High,Normalized persona x industry x company-size x ACV fit weights
M0011_P007,M0011,P007,Workflow Automation Hub,Workflow Automation,Workflow Platform,Standard,Product,Yes,Healthcare,North America,Mid-Market,Strategy,1687,0.448,166928245,80000,1.064725,0.12682,21169817,96,220519,0.077,High,High,Normalized persona x industry x company-size x ACV fit weights
M0011_P008,M0011,P008,Executive Insights Portal,Executive Insights,Executive Layer,Premium,CFO,Yes,Healthcare,North America,Mid-Market,Strategy,1687,0.448,166928245,110000,0.693226,0.08257,13783332,62,222312,0.077,High,High,Normalized persona x industry x company-size x ACV fit weights
M0012_P001,M0012,P001,Market Intelligence Pro,Market Intelligence,Core Platform,Premium,Strategy,Yes,Healthcare,North America,Mid-Market,Product,1245,0.256,69774341,150000,0.772712,0.092997,6488832,30,216294,0.08,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0012_P002,M0012,P002,Risk Analytics Suite,Risk Analytics,Analytics Add-on,Premium,CFO,Yes,Healthcare,North America,Mid-Market,Product,1245,0.256,69774341,175000,0.905575,0.108988,7604544,35,217273,0.08,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0012_P003,M0012,P003,Pricing Intelligence Engine,Pricing Intelligence,Decision Engine,Enterprise,CRO,Yes,Healthcare,North America,Mid-Market,Product,1245,0.256,69774341,135000,0.773795,0.093128,6497927,30,216598,0.08,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0012_P004,M0012,P004,Customer Intelligence Cloud,Customer Intelligence,Workflow Platform,Enterprise,CRO,Yes,Healthcare,North America,Mid-Market,Product,1245,0.256,69774341,120000,1.412766,0.170029,11863667,54,219698,0.08,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0012_P005,M0012,P005,Competitive Intelligence Radar,Competitive Intelligence,Insights Module,Standard,Strategy,Yes,Healthcare,North America,Mid-Market,Product,1245,0.256,69774341,90000,0.991004,0.119269,8321931,38,218998,0.08,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0012_P006,M0012,P006,Forecasting Platform,Forecasting Platform,Decision Engine,Premium,CFO,Yes,Healthcare,North America,Mid-Market,Product,1245,0.256,69774341,160000,0.81833,0.098488,6871909,31,221674,0.08,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0012_P007,M0012,P007,Workflow Automation Hub,Workflow Automation,Workflow Platform,Standard,Product,Yes,Healthcare,North America,Mid-Market,Product,1245,0.256,69774341,80000,1.941558,0.23367,16304184,74,220327,0.08,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0012_P008,M0012,P008,Executive Insights Portal,Executive Insights,Executive Layer,Premium,CFO,Yes,Healthcare,North America,Mid-Market,Product,1245,0.256,69774341,110000,0.693226,0.083431,5821347,27,215605,0.08,Medium,High,Normalized persona x industry x company-size x ACV fit weights
M0013_P001,M0013,P001,Market Intelligence Pro,Market Intelligence,Core Platform,Premium,Strategy,Yes,Healthcare,Europe,Strategic,CFO,198,0.352,59738096,150000,1.207363,0.104745,6257265,7,893895,0.125,Low,High,Normalized persona x industry x company-size x ACV fit weights
M0013_P002,M0013,P002,Risk Analytics Suite,Risk Analytics,Analytics Add-on,Premium,CFO,Yes,Healthcare,Europe,Strategic,CFO,198,0.352,59738096,175000,2.580223,0.223848,13372235,16,835765,0.125,Low,High,Normalized persona x industry x company-size x ACV fit weights
M0013_P003,M0013,P003,Pricing Intelligence Engine,Pricing Intelligence,Decision Engine,Enterprise,CRO,Yes,Healthcare,Europe,Strategic,CFO,198,0.352,59738096,135000,0.889865,0.0772,4611803,5,922361,0.125,Low,High,Normalized persona x industry x company-size x ACV fit weights
M0013_P004,M0013,P004,Customer Intelligence Cloud,Customer Intelligence,Workflow Platform,Enterprise,CRO,Yes,Healthcare,Europe,Strategic,CFO,198,0.352,59738096,120000,1.062291,0.092159,5505419,6,917570,0.125,Low,High,Normalized persona x industry x company-size x ACV fit weights
