account_id,product_id,ownership_status,current_acv_usd,contract_start_date,contract_end_date,renewal_risk,usage_score,adoption_score,expansion_eligible_flag
A0025,P007,Owned,103701,2023-06-04,2024-05-29,Low,93,99,Yes
A0025,P008,Not Owned,0,,,,0,0,
A0030,P001,Owned,167631,2023-02-11,2026-01-26,Medium,72,69,Yes
A0030,P002,Not Owned,0,,,,0,0,
A0030,P003,Owned,130338,2024-11-08,2026-10-29,Medium,60,60,Yes
A0030,P004,Not Owned,0,,,,0,0,
A0030,P005,Not Owned,0,,,,0,0,
A0030,P006,Not Owned,0,,,,0,0,
A0030,P007,Not Owned,0,,,,0,0,
A0030,P008,Not Owned,0,,,,0,0,
A0031,P001,Owned,166391,2024-06-12,2026-06-02,Low,78,82,Yes
A0031,P002,Not Owned,0,,,,0,0,
A0031,P003,Not Owned,0,,,,0,0,
A0031,P004,Not Owned,0,,,,0,0,
A0031,P005,Not Owned,0,,,,0,0,
A0031,P006,Owned,159928,2024-02-27,2025-02-21,Medium,62,68,Yes
A0031,P007,Not Owned,0,,,,0,0,
A0031,P008,Not Owned,0,,,,0,0,
A0037,P001,Not Owned,0,,,,0,0,
A0037,P002,Not Owned,0,,,,0,0,
A0037,P003,Owned,168373,2024-01-10,2025-12-30,Medium,55,56,No
A0037,P004,Not Owned,0,,,,0,0,
A0037,P005,Not Owned,0,,,,0,0,
A0037,P006,Owned,153961,2025-01-01,2025-12-27,Low,85,77,Yes
A0037,P007,Not Owned,0,,,,0,0,
A0037,P008,Not Owned,0,,,,0,0,
A0039,P001,Not Owned,0,,,,0,0,
A0039,P002,Owned,184376,2024-09-08,2027-08-24,Low,80,72,Yes
A0039,P003,Not Owned,0,,,,0,0,
A0039,P004,Not Owned,0,,,,0,0,
A0039,P005,Not Owned,0,,,,0,0,
A0039,P006,Not Owned,0,,,,0,0,
A0039,P007,Owned,112193,2025-03-01,2028-02-14,Low,94,95,Yes
A0039,P008,Not Owned,0,,,,0,0,
A0043,P001,Not Owned,0,,,,0,0,
A0043,P002,Owned,106571,2023-10-02,2024-09-26,High,52,56,No
A0043,P003,Owned,100255,2024-07-23,2027-07-08,Low,92,87,Yes
A0043,P004,Not Owned,0,,,,0,0,
A0043,P005,Not Owned,0,,,,0,0,
A0043,P006,Not Owned,0,,,,0,0,
A0043,P007,Not Owned,0,,,,0,0,
A0043,P008,Not Owned,0,,,,0,0,
A0045,P001,Not Owned,0,,,,0,0,
A0045,P002,Not Owned,0,,,,0,0,
A0045,P003,Not Owned,0,,,,0,0,
A0045,P004,Not Owned,0,,,,0,0,
A0045,P005,Owned,168078,2024-10-21,2025-10-16,Low,80,88,Yes
A0045,P006,Not Owned,0,,,,0,0,
A0045,P007,Not Owned,0,,,,0,0,
A0045,P008,Not Owned,0,,,,0,0,
A0047,P001,Not Owned,0,,,,0,0,
A0047,P002,Owned,207554,2023-03-07,2025-02-24,Medium,62,59,No
A0047,P003,Not Owned,0,,,,0,0,
A0047,P004,Owned,126530,2024-11-20,2025-11-15,High,54,50,No
A0047,P005,Not Owned,0,,,,0,0,
A0047,P006,Owned,172603,2023-06-24,2026-06-08,Low,81,70,Yes
A0047,P007,Not Owned,0,,,,0,0,
A0047,P008,Owned,136376,2024-11-13,2027-10-29,Medium,64,60,No
A0048,P001,Not Owned,0,,,,0,0,
A0048,P002,Not Owned,0,,,,0,0,
A0048,P003,Not Owned,0,,,,0,0,
A0048,P004,Not Owned,0,,,,0,0,
A0048,P005,Not Owned,0,,,,0,0,
A0048,P006,Not Owned,0,,,,0,0,
A0048,P007,Owned,137242,2024-01-13,2026-12-28,Low,91,93,Yes
A0048,P008,Owned,197441,2024-03-17,2025-03-12,High,51,45,No
A0049,P001,Owned,198170,2023-10-26,2026-10-10,Medium,69,81,Yes
A0049,P002,Not Owned,0,,,,0,0,
A0049,P003,Not Owned,0,,,,0,0,
A0049,P004,Not Owned,0,,,,0,0,
A0049,P005,Not Owned,0,,,,0,0,
A0049,P006,Not Owned,0,,,,0,0,
A0049,P007,Not Owned,0,,,,0,0,
A0049,P008,Not Owned,0,,,,0,0,
A0051,P001,Not Owned,0,,,,0,0,
A0051,P002,Not Owned,0,,,,0,0,
A0051,P003,Not Owned,0,,,,0,0,
A0051,P004,Not Owned,0,,,,0,0,
A0051,P005,Not Owned,0,,,,0,0,
A0051,P006,Owned,206643,2025-06-06,2026-06-01,Medium,56,51,No
A0051,P007,Not Owned,0,,,,0,0,
A0051,P008,Not Owned,0,,,,0,0,
A0054,P001,Not Owned,0,,,,0,0,
A0054,P002,Not Owned,0,,,,0,0,
A0054,P003,Not Owned,0,,,,0,0,
A0054,P004,Not Owned,0,,,,0,0,
A0054,P005,Owned,92609,2023-07-16,2026-06-30,High,46,49,No
A0054,P006,Owned,200093,2024-04-26,2026-04-16,Medium,64,58,No
A0054,P007,Not Owned,0,,,,0,0,
A0054,P008,Owned,118434,2024-08-12,2027-07-28,Low,77,80,No
A0058,P001,Owned,166867,2024-07-23,2027-07-08,Low,77,62,Yes
A0058,P002,Owned,187197,2025-01-12,2026-01-07,Medium,74,72,Yes
A0058,P003,Not Owned,0,,,,0,0,
A0058,P004,Not Owned,0,,,,0,0,
A0058,P005,Not Owned,0,,,,0,0,
A0058,P006,Not Owned,0,,,,0,0,
A0058,P007,Owned,97891,2024-12-14,2025-12-09,Low,88,87,Yes
A0058,P008,Owned,138483,2023-02-28,2025-02-17,Medium,60,57,No
A0059,P001,Not Owned,0,,,,0,0,
A0059,P002,Owned,243088,2025-04-23,2027-04-13,Medium,57,59,No
A0059,P003,Not Owned,0,,,,0,0,
A0059,P004,Owned,130552,2024-12-26,2025-12-21,Medium,70,64,Yes
A0059,P005,Not Owned,0,,,,0,0,
A0059,P006,Not Owned,0,,,,0,0,
A0059,P007,Not Owned,0,,,,0,0,
A0059,P008,Not Owned,0,,,,0,0,
A0063,P001,Owned,199445,2024-09-06,2026-08-27,Low,78,61,Yes
A0063,P002,Not Owned,0,,,,0,0,
A0063,P003,Owned,181945,2023-02-19,2026-02-03,Medium,57,60,Yes
A0063,P004,Not Owned,0,,,,0,0,
A0063,P005,Not Owned,0,,,,0,0,
A0063,P006,Owned,227276,2023-04-04,2026-03-19,Low,88,89,Yes
A0063,P007,Owned,121767,2023-11-27,2024-11-21,High,47,52,No
A0063,P008,Not Owned,0,,,,0,0,
A0064,P001,Owned,261181,2023-12-02,2025-11-21,High,51,41,No
A0064,P002,Not Owned,0,,,,0,0,
A0064,P003,Not Owned,0,,,,0,0,
A0064,P004,Owned,182815,2024-07-19,2027-07-04,Low,78,80,Yes
A0064,P005,Not Owned,0,,,,0,0,
A0064,P006,Owned,291828,2023-01-11,2024-01-06,Medium,58,69,Yes
A0064,P007,Owned,103138,2023-04-20,2025-04-09,Low,94,69,Yes
A0064,P008,Owned,168114,2024-07-16,2025-07-11,Low,83,81,No
A0066,P001,Not Owned,0,,,,0,0,
A0066,P002,Not Owned,0,,,,0,0,
A0066,P003,Not Owned,0,,,,0,0,
A0066,P004,Owned,92856,2024-05-24,2026-05-14,Low,91,90,Yes
A0066,P005,Not Owned,0,,,,0,0,
A0066,P006,Owned,107534,2024-09-02,2025-08-28,Low,91,99,Yes
A0066,P007,Not Owned,0,,,,0,0,
A0066,P008,Not Owned,0,,,,0,0,
A0068,P001,Not Owned,0,,,,0,0,
A0068,P002,Not Owned,0,,,,0,0,
A0068,P003,Owned,176493,2023-05-18,2024-05-12,High,49,39,No
A0068,P004,Owned,130339,2023-03-14,2024-03-08,Low,78,71,Yes
A0068,P005,Owned,89376,2023-10-27,2024-10-21,Medium,59,50,No
A0068,P006,Not Owned,0,,,,0,0,
A0068,P007,Not Owned,0,,,,0,0,
A0068,P008,Owned,123818,2024-05-03,2026-04-23,High,46,34,No
A0069,P001,Not Owned,0,,,,0,0,
A0069,P002,Not Owned,0,,,,0,0,
A0069,P003,Owned,172200,2023-08-09,2026-07-24,Low,83,76,Yes
A0069,P004,Not Owned,0,,,,0,0,
A0069,P005,Not Owned,0,,,,0,0,
A0069,P006,Not Owned,0,,,,0,0,
A0069,P007,Owned,94055,2023-03-17,2024-03-11,Medium,73,71,Yes
A0069,P008,Not Owned,0,,,,0,0,
A0070,P001,Not Owned,0,,,,0,0,
A0070,P002,Not Owned,0,,,,0,0,
A0070,P003,Not Owned,0,,,,0,0,
A0070,P004,Not Owned,0,,,,0,0,
A0070,P005,Owned,123528,2024-12-13,2027-11-28,Low,91,98,Yes
A0070,P006,Not Owned,0,,,,0,0,
A0070,P007,Not Owned,0,,,,0,0,
A0070,P008,Not Owned,0,,,,0,0,
A0071,P001,Not Owned,0,,,,0,0,
A0071,P002,Not Owned,0,,,,0,0,
A0071,P003,Not Owned,0,,,,0,0,
A0071,P004,Not Owned,0,,,,0,0,
A0071,P005,Not Owned,0,,,,0,0,
A0071,P006,Owned,154034,2024-01-11,2026-12-26,High,46,47,No
A0071,P007,Owned,93559,2024-02-09,2026-01-29,Medium,72,64,Yes
A0071,P008,Not Owned,0,,,,0,0,
A0075,P001,Owned,93593,2023-05-12,2025-05-01,Low,94,99,Yes
A0075,P002,Not Owned,0,,,,0,0,
A0075,P003,Not Owned,0,,,,0,0,
A0075,P004,Not Owned,0,,,,0,0,
A0075,P005,Owned,77600,2025-06-14,2026-06-09,Low,78,62,Yes
A0075,P006,Owned,135241,2024-01-05,2025-12-25,Medium,70,72,Yes
A0075,P007,Not Owned,0,,,,0,0,
A0075,P008,Owned,92544,2023-01-28,2025-01-17,High,54,51,No
A0078,P001,Not Owned,0,,,,0,0,
A0078,P002,Owned,233269,2023-06-29,2024-06-23,Medium,61,66,Yes
A0078,P003,Owned,240001,2024-06-05,2027-05-21,Medium,56,51,No
A0078,P004,Not Owned,0,,,,0,0,
A0078,P005,Not Owned,0,,,,0,0,
A0078,P006,Owned,246635,2023-04-22,2025-04-11,Low,85,89,Yes
A0078,P007,Not Owned,0,,,,0,0,
A0078,P008,Owned,178095,2023-05-27,2026-05-11,Medium,58,51,No
A0079,P001,Owned,213165,2024-07-21,2025-07-16,Low,95,86,Yes
A0079,P002,Not Owned,0,,,,0,0,
A0079,P003,Owned,187828,2023-11-02,2024-10-27,Low,75,73,Yes
A0079,P004,Not Owned,0,,,,0,0,
A0079,P005,Owned,162536,2024-07-17,2027-07-02,Low,78,79,Yes
A0079,P006,Owned,226547,2024-01-19,2027-01-03,Low,91,92,Yes
A0079,P007,Not Owned,0,,,,0,0,
A0079,P008,Owned,148276,2023-04-15,2026-03-30,Medium,68,56,No
A0081,P001,Owned,209980,2024-08-17,2027-08-02,High,49,52,No
A0081,P002,Not Owned,0,,,,0,0,
A0081,P003,Owned,177189,2023-10-20,2026-10-04,Medium,56,67,Yes
A0081,P004,Not Owned,0,,,,0,0,
A0081,P005,Owned,103628,2023-09-19,2026-09-03,Medium,55,49,No
A0081,P006,Not Owned,0,,,,0,0,
A0081,P007,Not Owned,0,,,,0,0,
A0081,P008,Not Owned,0,,,,0,0,
A0082,P001,Not Owned,0,,,,0,0,
A0082,P002,Not Owned,0,,,,0,0,
A0082,P003,Not Owned,0,,,,0,0,
A0082,P004,Not Owned,0,,,,0,0,
A0082,P005,Not Owned,0,,,,0,0,
A0082,P006,Not Owned,0,,,,0,0,
A0082,P007,Owned,98421,2025-04-07,2027-03-28,Low,94,85,Yes
A0082,P008,Owned,136202,2025-02-16,2028-02-01,Low,92,79,No
A0084,P001,Owned,161842,2024-07-02,2026-06-22,Low,82,67,Yes
A0084,P002,Not Owned,0,,,,0,0,
A0084,P003,Not Owned,0,,,,0,0,
A0084,P004,Not Owned,0,,,,0,0,
A0084,P005,Owned,95145,2023-12-05,2026-11-19,High,51,64,Yes
A0084,P006,Not Owned,0,,,,0,0,
A0084,P007,Not Owned,0,,,,0,0,
A0084,P008,Owned,118627,2025-03-01,2028-02-14,Medium,64,51,No
A0086,P001,Owned,268694,2025-04-06,2026-04-01,Medium,63,57,No
A0086,P002,Owned,307112,2025-03-05,2027-02-23,Medium,70,51,No
A0086,P003,Owned,176169,2024-09-29,2027-09-14,High,46,38,No
A0086,P004,Not Owned,0,,,,0,0,
A0086,P005,Not Owned,0,,,,0,0,
A0086,P006,Not Owned,0,,,,0,0,
A0086,P007,Owned,150785,2024-04-29,2025-04-24,Medium,70,64,Yes
A0086,P008,Not Owned,0,,,,0,0,
A0088,P001,Owned,206824,2023-08-10,2025-07-30,Low,80,73,Yes
A0088,P002,Not Owned,0,,,,0,0,
A0088,P003,Not Owned,0,,,,0,0,
A0088,P004,Owned,222681,2025-01-11,2026-01-06,Low,78,72,Yes
A0088,P005,Not Owned,0,,,,0,0,
A0088,P006,Owned,269084,2024-01-06,2026-12-21,Medium,60,55,No
A0088,P007,Not Owned,0,,,,0,0,
A0088,P008,Not Owned,0,,,,0,0,
A0099,P001,Owned,199132,2023-10-19,2024-10-13,Medium,67,83,Yes
A0099,P002,Not Owned,0,,,,0,0,
A0099,P003,Owned,134620,2023-05-26,2026-05-10,Low,81,76,Yes
A0099,P004,Not Owned,0,,,,0,0,
A0099,P005,Owned,110124,2023-12-16,2024-12-10,Low,80,84,Yes
A0099,P006,Owned,180778,2025-02-20,2027-02-10,Low,79,65,Yes
A0099,P007,Not Owned,0,,,,0,0,
A0099,P008,Not Owned,0,,,,0,0,
A0100,P001,Owned,263524,2024-01-27,2027-01-11,Medium,69,62,Yes
A0100,P002,Not Owned,0,,,,0,0,
A0100,P003,Owned,248878,2023-08-10,2024-08-04,Low,80,89,Yes
A0100,P004,Not Owned,0,,,,0,0,
A0100,P005,Not Owned,0,,,,0,0,
A0100,P006,Owned,251167,2024-03-12,2025-03-07,Low,88,96,Yes
A0100,P007,Owned,139697,2025-04-06,2028-03-21,Medium,65,50,No
A0100,P008,Not Owned,0,,,,0,0,
A0101,P001,Not Owned,0,,,,0,0,
A0101,P002,Owned,227591,2024-02-13,2027-01-28,High,54,54,No
A0101,P003,Owned,146602,2024-06-05,2026-05-26,Low,85,99,Yes
A0101,P004,Not Owned,0,,,,0,0,
A0101,P005,Not Owned,0,,,,0,0,
A0101,P006,Not Owned,0,,,,0,0,
A0101,P007,Not Owned,0,,,,0,0,
A0101,P008,Owned,149219,2025-05-25,2026-05-20,Medium,55,49,No
A0105,P001,Not Owned,0,,,,0,0,
A0105,P002,Not Owned,0,,,,0,0,
A0105,P003,Not Owned,0,,,,0,0,
A0105,P004,Not Owned,0,,,,0,0,
A0105,P005,Not Owned,0,,,,0,0,
A0105,P006,Not Owned,0,,,,0,0,
A0105,P007,Owned,131459,2024-02-03,2025-01-28,High,48,48,No
A0105,P008,Not Owned,0,,,,0,0,
A0108,P001,Not Owned,0,,,,0,0,
A0108,P002,Not Owned,0,,,,0,0,
A0108,P003,Not Owned,0,,,,0,0,
A0108,P004,Not Owned,0,,,,0,0,
A0108,P005,Not Owned,0,,,,0,0,
A0108,P006,Not Owned,0,,,,0,0,
A0108,P007,Owned,93983,2023-03-18,2024-03-12,Low,87,90,Yes
A0108,P008,Not Owned,0,,,,0,0,
A0109,P001,Owned,167338,2023-02-27,2026-02-11,Low,86,96,Yes
A0109,P002,Not Owned,0,,,,0,0,
A0109,P003,Not Owned,0,,,,0,0,
A0109,P004,Not Owned,0,,,,0,0,
A0109,P005,Not Owned,0,,,,0,0,
A0109,P006,Not Owned,0,,,,0,0,
A0109,P007,Owned,85716,2023-10-28,2026-10-12,Low,83,94,Yes
A0109,P008,Owned,106478,2024-02-22,2025-02-16,Low,85,90,No
A0111,P001,Not Owned,0,,,,0,0,
A0111,P002,Not Owned,0,,,,0,0,
A0111,P003,Not Owned,0,,,,0,0,
A0111,P004,Not Owned,0,,,,0,0,
A0111,P005,Not Owned,0,,,,0,0,
A0111,P006,Owned,181139,2023-05-28,2024-05-22,Low,91,83,Yes
A0111,P007,Not Owned,0,,,,0,0,
A0111,P008,Owned,117398,2024-05-22,2026-05-12,Medium,73,81,No
A0112,P001,Owned,190737,2024-04-04,2025-03-30,Low,91,77,Yes
A0112,P002,Owned,219072,2024-09-02,2025-08-28,Medium,67,76,Yes
A0112,P003,Not Owned,0,,,,0,0,
A0112,P004,Not Owned,0,,,,0,0,
A0112,P005,Not Owned,0,,,,0,0,
A0112,P006,Not Owned,0,,,,0,0,
A0112,P007,Owned,76156,2025-03-28,2026-03-23,Low,92,99,Yes
A0112,P008,Not Owned,0,,,,0,0,
A0114,P001,Owned,255683,2024-09-08,2025-09-03,Low,94,84,Yes
A0114,P002,Owned,306809,2023-01-24,2025-01-13,Low,78,75,Yes
A0114,P003,Not Owned,0,,,,0,0,
A0114,P004,Not Owned,0,,,,0,0,
A0114,P005,Owned,168532,2023-07-23,2024-07-17,Medium,74,68,Yes
A0114,P006,Not Owned,0,,,,0,0,
A0114,P007,Owned,113192,2023-05-16,2025-05-05,Medium,67,65,Yes
A0114,P008,Not Owned,0,,,,0,0,
A0116,P001,Owned,241305,2023-03-23,2025-03-12,High,45,40,No
A0116,P002,Not Owned,0,,,,0,0,
A0116,P003,Not Owned,0,,,,0,0,
A0116,P004,Owned,167765,2023-06-18,2026-06-02,High,51,55,No
A0116,P005,Not Owned,0,,,,0,0,
A0116,P006,Not Owned,0,,,,0,0,
A0116,P007,Owned,120519,2023-08-13,2025-08-02,Medium,60,62,Yes
A0116,P008,Not Owned,0,,,,0,0,
A0118,P001,Not Owned,0,,,,0,0,
A0118,P002,Owned,281678,2023-12-20,2025-12-09,High,52,55,No
A0118,P003,Not Owned,0,,,,0,0,
A0118,P004,Owned,218840,2024-07-12,2026-07-02,Medium,64,72,Yes
A0118,P005,Not Owned,0,,,,0,0,
A0118,P006,Owned,229608,2023-02-20,2026-02-04,Medium,55,59,No
A0118,P007,Not Owned,0,,,,0,0,
A0118,P008,Owned,149416,2024-02-10,2026-01-30,Low,77,71,No
A0119,P001,Not Owned,0,,,,0,0,
A0119,P002,Owned,125050,2023-10-19,2024-10-13,Medium,60,48,No
A0119,P003,Not Owned,0,,,,0,0,
A0119,P004,Not Owned,0,,,,0,0,
A0119,P005,Not Owned,0,,,,0,0,
A0119,P006,Not Owned,0,,,,0,0,
A0119,P007,Not Owned,0,,,,0,0,
A0119,P008,Not Owned,0,,,,0,0,
A0121,P001,Not Owned,0,,,,0,0,
A0121,P002,Not Owned,0,,,,0,0,
A0121,P003,Not Owned,0,,,,0,0,
A0121,P004,Owned,119137,2023-05-26,2025-05-15,Low,92,95,Yes
A0121,P005,Owned,117614,2024-11-14,2027-10-30,Medium,55,57,No
A0121,P006,Not Owned,0,,,,0,0,
A0121,P007,Owned,106129,2024-10-16,2025-10-11,Low,76,74,Yes
A0121,P008,Not Owned,0,,,,0,0,
A0125,P001,Owned,238956,2024-03-05,2025-02-28,Low,81,68,Yes
A0125,P002,Owned,275731,2025-01-18,2028-01-03,Low,83,79,Yes
A0125,P003,Owned,208239,2025-02-15,2027-02-05,Medium,59,66,Yes
A0125,P004,Not Owned,0,,,,0,0,
A0125,P005,Not Owned,0,,,,0,0,
A0125,P006,Owned,290322,2025-05-18,2028-05-02,Medium,56,48,No
A0125,P007,Not Owned,0,,,,0,0,
A0125,P008,Owned,176877,2023-11-23,2025-11-12,High,46,40,No
A0129,P001,Owned,109850,2024-12-20,2027-12-05,Low,79,87,Yes
A0129,P002,Not Owned,0,,,,0,0,
A0129,P003,Not Owned,0,,,,0,0,
A0129,P004,Not Owned,0,,,,0,0,
A0129,P005,Not Owned,0,,,,0,0,
A0129,P006,Not Owned,0,,,,0,0,
A0129,P007,Not Owned,0,,,,0,0,
A0129,P008,Not Owned,0,,,,0,0,
A0130,P001,Not Owned,0,,,,0,0,
A0130,P002,Not Owned,0,,,,0,0,
A0130,P003,Not Owned,0,,,,0,0,
A0130,P004,Owned,164336,2023-05-02,2025-04-21,Low,75,72,Yes
A0130,P005,Not Owned,0,,,,0,0,
A0130,P006,Owned,219931,2023-08-30,2025-08-19,Low,78,70,Yes
A0130,P007,Owned,104139,2023-05-31,2024-05-25,Medium,68,68,Yes
A0130,P008,Not Owned,0,,,,0,0,
A0136,P001,Not Owned,0,,,,0,0,
A0136,P002,Owned,246719,2023-12-24,2025-12-13,Low,88,80,Yes
A0136,P003,Owned,184911,2024-02-07,2027-01-22,Low,87,77,Yes
A0136,P004,Not Owned,0,,,,0,0,
A0136,P005,Not Owned,0,,,,0,0,
A0136,P006,Not Owned,0,,,,0,0,
A0136,P007,Not Owned,0,,,,0,0,
A0136,P008,Not Owned,0,,,,0,0,
A0138,P001,Owned,118227,2024-02-19,2027-02-03,High,54,64,Yes
A0138,P002,Not Owned,0,,,,0,0,
A0138,P003,Not Owned,0,,,,0,0,
A0138,P004,Not Owned,0,,,,0,0,
A0138,P005,Not Owned,0,,,,0,0,
A0138,P006,Not Owned,0,,,,0,0,
A0138,P007,Not Owned,0,,,,0,0,
A0138,P008,Owned,88149,2024-06-19,2027-06-04,Low,94,96,No
A0139,P001,Not Owned,0,,,,0,0,
A0139,P002,Not Owned,0,,,,0,0,
A0139,P003,Not Owned,0,,,,0,0,
A0139,P004,Owned,166644,2025-02-12,2028-01-28,High,47,45,No
A0139,P005,Owned,107951,2024-07-01,2027-06-16,Medium,62,63,Yes
A0139,P006,Owned,190760,2025-03-13,2028-02-26,High,46,57,No
A0139,P007,Not Owned,0,,,,0,0,
A0139,P008,Not Owned,0,,,,0,0,
A0159,P001,Owned,252245,2024-07-09,2026-06-29,Low,91,80,Yes
A0159,P002,Owned,277473,2023-10-26,2026-10-10,High,53,45,No
A0159,P003,Owned,196539,2024-09-12,2026-09-02,Low,92,84,Yes
A0159,P004,Not Owned,0,,,,0,0,
A0159,P005,Not Owned,0,,,,0,0,
A0159,P006,Not Owned,0,,,,0,0,
A0159,P007,Owned,104954,2023-03-28,2025-03-17,Medium,67,60,Yes
A0159,P008,Owned,170627,2024-07-12,2027-06-27,Medium,74,86,No
A0165,P001,Not Owned,0,,,,0,0,
A0165,P002,Not Owned,0,,,,0,0,
A0165,P003,Not Owned,0,,,,0,0,
A0165,P004,Not Owned,0,,,,0,0,
A0165,P005,Not Owned,0,,,,0,0,
A0165,P006,Not Owned,0,,,,0,0,
A0165,P007,Not Owned,0,,,,0,0,
A0165,P008,Owned,146061,2023-07-03,2024-06-27,Low,79,75,No
A0167,P001,Not Owned,0,,,,0,0,
A0167,P002,Not Owned,0,,,,0,0,
A0167,P003,Not Owned,0,,,,0,0,
A0167,P004,Owned,123978,2025-02-26,2028-02-11,Medium,56,66,Yes
A0167,P005,Not Owned,0,,,,0,0,
A0167,P006,Not Owned,0,,,,0,0,
A0167,P007,Owned,85556,2025-03-09,2026-03-04,Low,84,85,Yes
A0167,P008,Not Owned,0,,,,0,0,
A0168,P001,Not Owned,0,,,,0,0,
A0168,P002,Not Owned,0,,,,0,0,
A0168,P003,Not Owned,0,,,,0,0,
A0168,P004,Owned,197936,2024-05-19,2026-05-09,Low,79,85,Yes
A0168,P005,Not Owned,0,,,,0,0,
A0168,P006,Not Owned,0,,,,0,0,
A0168,P007,Not Owned,0,,,,0,0,
A0168,P008,Owned,202234,2024-06-01,2026-05-22,Low,90,99,No
A0170,P001,Not Owned,0,,,,0,0,
A0170,P002,Not Owned,0,,,,0,0,
A0170,P003,Owned,102130,2024-05-20,2027-05-05,High,47,49,No
A0170,P004,Not Owned,0,,,,0,0,
A0170,P005,Owned,70802,2023-01-01,2024-12-21,Low,86,76,Yes
A0170,P006,Not Owned,0,,,,0,0,
A0170,P007,Not Owned,0,,,,0,0,
A0170,P008,Owned,70843,2024-10-02,2025-09-27,Medium,68,74,No
A0172,P001,Not Owned,0,,,,0,0,
A0172,P002,Not Owned,0,,,,0,0,
A0172,P003,Not Owned,0,,,,0,0,
A0172,P004,Not Owned,0,,,,0,0,
A0172,P005,Not Owned,0,,,,0,0,
